timestamp,#Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,lat,lon,emit
2024-03-10 23:05:00,2024-045 ,2460380.46,2024 Mar 10 2305:00,Falcon 9,FT5,309/B1077.11 F309,Starlink-146,Starlink Group 6-43,V2M  6-43 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-03-11 00:00:00,2024-S07  ,2460380.5,2024 Mar 11,Agni 5,-,-,Mission Divyastra,MIRV test,-,-,CHAN,IC4,-,-,    800, ,    -, ,-,0.0,IDRDL,MS,-,-,Test,Wire,-,-,21.3,86.6,0.0
2024-03-11 04:09:00,2024-046 ,2460380.67,2024 Mar 11 0409:00,Falcon 9,FT5,312/B1063.17 F310,Starlink-147,Starlink Group 7-17,V2M  7-17 (23 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-03-12 05:14:58,2024-S08  ,2460381.72,2024 Mar 12 0514:58,Improved Orion,?,SSC REXUS 32,EURO REXUS 32,-,-,-,ESR,-,-,-,     80,?,    -, ,ESR B,0.0,EUROL,SS,-,EUROL/,Tech,www.sscspace.com,-,-,67.894,21.107,0.0
2024-03-12 15:03:00,2024-047 ,2460382.13,2024 Mar 12 1503,Electron,-,45,Owl Night Long,Strix-3,-,-,MAHIA,LC1B,-,-,      -, ,    -, ,-,0.15,RLABN,OS,-,C,Sat SSO OO,Wire,-,-,-39.2609,177.8655,0.0
2024-03-13 02:01:12,2024-F01  ,2460382.58,2024 Mar 13 0201:12,Kairos,-,1,-,Tanki Uchaigegata Kogata,-,-,KII,LC1,-,-,      1, ,    -, ,-,0.15,SPONE,OF,AD,C/G,Sat SSO OO,youtube.co,-,St1 burn rate low,33.5443,135.8895,0.0
2024-03-13 12:51:00,2024-048 ,2460383.04,2024 Mar 13 1251,Chang Zheng 2C/YZ-1S,-,-,DRO-A/DRO-B,DRO-A/DRO-B,-,-,XSC,-,-,-,      -, ,    -, ,-,0.801,CALT,OS75,S3P,G,Sat EEO OO,nasaspaceflight.com,xinhuanet.com,YZ-1S underburn,28.2472,102.0291,0.0
2024-03-14 12:00:00,2024-S09  ,2460384.0,2024 Mar 14 1200,Improved Orion,?,SSC REXUS 31,EURO REXUS 31,-,-,-,ESR,-,-,-,     80,?,    -, ,ESR B,0.0,EUROL,SS,-,EUROL/,Tech,www.sscspace.com,-,-,67.894,21.107,0.0
2024-03-14 13:25:00,2024-U01  ,2460384.06,2024 Mar 14 1325:00,Starship V1.0,-,B10/S28,Starship Flight 3,Ship 28,-,-,STB,OLP1,-,-,    234, ,    -, ,-,120.0,SPX,OS,-,C,Sat LEO S,nasaspaceflight.com,-,-,25.9964,-97.1536,0.0
2024-03-16 00:21:00,2024-049 ,2460385.51,2024 Mar 16 0021:00,Falcon 9,FT5,313/B1062.19 F311,Starlink-148,Starlink Group 6-44,-,-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,0.0
2024-03-17 22:42:00,2024-M03  ,2460387.45,2024 Mar 17 2242,Hwasong-11Na,?,-,-,-,-,-,SUNAN,-,-,-,     50, ,  300, ,-,0.0,JRG,MS,-,-,OT,Wire,-,-,39.2674,125.6752,0.0
2024-03-17 23:00:00,2024-M04  ,2460387.46,2024 Mar 17 2300?,Hwasong-11Na,?,-,-,-,-,-,SUNAN,-,-,-,     50, ,  300, ,-,0.0,JRG,MS,-,-,OT,Wire,-,-,39.2674,125.6752,0.0
2024-03-17 23:22:00,2024-M05  ,2460387.47,2024 Mar 17 2322,Hwasong-11Na,?,-,-,-,-,-,SUNAN,-,-,-,     50, ,  300, ,-,0.0,JRG,MS,-,-,OT,Wire,-,-,39.2674,125.6752,0.0
2024-03-19 02:28:00,2024-050 ,2460388.6,2024 Mar 19 0228:00,Falcon 9,FT5,310/B1075.10 F312,Starlink-149,Starlink Group 7-16,V2M  7-16 (20 Ku),-,VSFBS,SLC4E,-,-,      -, ,    -, ,-,16.5,SPX,OS,-,C,Sat LEO D,Wire,-,-,34.63,-120.61,0.0
2024-03-20 00:31:28,2024-051 ,2460389.52,2024 Mar 20 0031:28,Chang Zheng 8,-,Y3,Queqiao-2,Queqiao-2,-,-,WEN,LC201,-,-,      -, ,    -, ,-,1.276,CALT,OS,-,G,Sat EEO O,nasaspaceflight.com,xinhuanet.com,-,19.6142,110.9511,0.0
2024-03-21 05:27:00,2024-052 ,2460390.73,2024 Mar 21 0527,Chang Zheng 2D/YZ-3,-,Y87/Y3,Yunhai-2 02,Yunhai-2 02,-,-,JQ,LC43/94,-,-,      -, ,    -, ,-,0.6,SAST,OS,-,G/C,Sat LEO O,nasaspaceflight.com,-,-,41.31,100.31,0.0
2024-03-21 07:25:00,2024-053 ,2460390.81,2024 Mar 21 0725,Electron,-,46,Live and Let Fly,NROL-123,USA 350-352,-,MARS,Pad 0C,-,-,      -, ,    -, ,-,0.13,RLABU,OS,-,C/G,Sat LEO OO,Wire,-,-,37.83,-75.48,0.0
2024-03-21 20:55:09,2024-054 ,2460391.37,2024 Mar 21 2055:09,Falcon 9,FT5,311/B1080.6  F313,Dragon CRS-30,Dragon C209.4,-,-,CC,LC40,-,-,      -, ,    -, ,-,17.87,SPX,OS,-,CX,Sat ISS D,Wire,-,-,28.46,-80.54,0.0
2024-03-23 12:36:10,2024-055 ,2460393.03,2024 Mar 23 1236:10,Soyuz-2-1A,-,M 15000-066,Soyuz MS-25,Soyuz 11F732A48 No. 756,ISS 71S,-,GIK-5,LC31,-,-,      -, ,    -, ,-,7.2,FKA,OS,-,G,Sat ISS O,nasaspaceflight.com,-,-,46.0,63.0,0.0
2024-03-24 03:09:00,2024-056 ,2460393.63,2024 Mar 24 0309:00,Falcon 9,FT5,314/B1060.19 F314,Starlink-150,Starlink Group 6-42,V2M  6-42 (23 Ku),-,KSC,LC39A,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.6083,-80.6041,0.0
2024-03-24 09:45:00,2024-S10  ,2460393.91,2024 Mar 24 0945,VSB-30,-,-,DLR TEXUS 60,-,-,-,ESR,S,-,-,    264,?,    -, ,-,0.0,DLR,SS,-,ZARM/ESA/,Microgravity,www.sscspace.com,-,-,67.894,21.107,0.0
2024-03-25 23:42:00,2024-057 ,2460395.49,2024 Mar 25 2342:00,Falcon 9,FT5,321/B1078.8  F315,Starlink-151,Starlink Group 6-46,V2M  6-46 (23 Ku),-,CC,LC40,-,-,      -, ,    -, ,-,17.25,SPX,OS,-,C,Sat LEO D,Wire,-,-,28.46,-80.54,0.0
2024-03-26 22:51:00,2024-058 ,2460396.45,2024 Mar 26 2251,Chang Zheng 6A,-,Y3,Yunhai-3 02,Yunhai-3 02,-,-,TYSC,LC9A,-,-,      -, ,    -, ,-,1.5,SAST,OS,-,G/C,Sat SSO L,nasaspaceflight.com,-,-,37.5,112.6,0.0
